id_empleado,date,score_satisfacion,score_inclusion,work_life_balance,percepcion_equidad
1,2021-01-01,4,2,3,4
1,2022-01-01,4,3,5,4
1,2023-01-01,4,4,4,4
1,2024-01-01,5,2,5,4
1,2025-01-01,5,2,5,4
2,2021-04-01,2,3,3,4
2,2022-04-01,4,3,4,4
2,2023-04-01,4,3,4,4
2,2024-04-01,2,4,5,4
3,2021-11-01,3,3,3,4
3,2022-11-01,4,3,5,4
3,2023-11-01,2,2,3,4
3,2024-11-01,2,4,4,4
4,2021-03-01,2,2,4,3
4,2022-03-01,3,2,3,3
4,2023-03-01,3,2,4,3
4,2024-03-01,4,2,5,3
4,2025-03-01,2,3,3,3
5,2021-09-01,4,2,4,4
5,2022-09-01,5,3,3,4
5,2023-09-01,5,4,5,4
5,2024-09-01,4,3,5,4
6,2021-09-01,3,2,3,4
6,2022-09-01,3,2,5,4
6,2023-09-01,4,4,5,4
6,2024-09-01,4,4,4,4
7,2021-06-01,4,2,5,4
7,2022-06-01,2,2,5,4
7,2023-06-01,3,2,3,4
7,2024-06-01,2,4,5,4
8,2021-09-01,3,4,4,4
8,2022-09-01,2,2,4,4
8,2023-09-01,4,4,3,4
8,2024-09-01,3,4,3,4
9,2021-08-01,2,2,5,4
9,2022-08-01,3,4,4,4
9,2023-08-01,3,4,5,4
9,2024-08-01,2,2,3,4
10,2021-05-01,2,4,3,4
10,2022-05-01,2,2,4,4
10,2023-05-01,3,2,5,4
10,2024-05-01,4,3,3,4
11,2021-07-01,3,5,3,3
11,2022-07-01,4,3,4,3
11,2023-07-01,2,3,3,3
11,2024-07-01,4,5,4,3
12,2021-05-01,4,4,3,4
12,2022-05-01,5,3,3,4
12,2023-05-01,3,4,4,4
12,2024-05-01,5,4,4,4
13,2021-02-01,4,5,3,4
13,2022-02-01,3,5,4,4
13,2023-02-01,2,4,3,4
13,2024-02-01,4,4,3,4
13,2025-02-01,4,3,5,4
14,2021-05-01,4,4,3,4
14,2022-05-01,4,2,4,4
14,2023-05-01,2,5,5,4
14,2024-05-01,4,5,5,4
15,2021-06-01,4,2,4,4
15,2022-06-01,2,4,5,4
15,2023-06-01,3,3,5,4
15,2024-06-01,4,4,4,4
16,2021-08-01,3,4,4,4
16,2022-08-01,2,2,3,4
16,2023-08-01,2,5,3,4
16,2024-08-01,2,2,4,4
17,2021-10-01,3,2,4,3
17,2022-10-01,3,3,4,3
17,2023-10-01,2,2,5,3
17,2024-10-01,2,2,5,3
18,2021-02-01,3,3,3,3
18,2022-02-01,3,4,5,3
18,2023-02-01,4,5,4,3
18,2024-02-01,3,2,3,3
18,2025-02-01,4,4,5,3
19,2021-07-01,2,4,4,4
19,2022-07-01,2,4,5,4
19,2023-07-01,2,3,4,4
19,2024-07-01,3,5,4,4
20,2021-11-01,5,5,3,4
20,2022-11-01,3,5,3,4
20,2023-11-01,5,5,5,4
20,2024-11-01,4,5,4,4
21,2021-10-01,3,3,5,4
21,2022-10-01,3,2,4,4
21,2023-10-01,3,5,4,4
21,2024-10-01,3,4,5,4
22,2021-05-01,2,2,3,4
22,2022-05-01,3,4,3,4
22,2023-05-01,3,2,5,4
22,2024-05-01,4,2,4,4
23,2021-06-01,3,4,5,3
23,2022-06-01,4,3,5,3
23,2023-06-01,4,2,4,3
23,2024-06-01,2,3,4,3
24,2021-08-01,2,2,4,4
24,2022-08-01,2,3,5,4
24,2023-08-01,2,2,5,4
24,2024-08-01,4,5,3,4
25,2021-12-01,4,4,5,4
25,2022-12-01,3,4,4,4
25,2023-12-01,2,3,5,4
25,2024-12-01,2,3,3,4
26,2021-09-01,2,5,5,3
26,2022-09-01,3,5,4,3
26,2023-09-01,4,3,3,3
26,2024-09-01,2,3,3,3
27,2021-06-01,3,4,3,4
27,2022-06-01,4,2,2,4
27,2023-06-01,4,3,2,4
27,2024-06-01,2,4,5,4
28,2024-10-01,2,3,4,4
29,2021-11-01,2,5,3,4
29,2022-11-01,2,4,3,4
29,2023-11-01,4,2,5,4
29,2024-11-01,4,2,5,4
30,2021-10-01,2,4,4,4
30,2022-10-01,2,3,4,4
30,2023-10-01,4,3,3,4
30,2024-10-01,2,5,3,4
31,2024-04-01,2,3,5,4
32,2021-03-01,3,2,5,4
32,2022-03-01,4,3,4,4
32,2023-03-01,5,2,4,4
32,2024-03-01,5,5,5,4
32,2025-03-01,3,5,5,4
33,2021-08-01,3,4,4,4
33,2022-08-01,4,4,3,4
33,2023-08-01,3,4,4,4
33,2024-08-01,3,5,4,4
34,2021-11-01,3,2,5,4
34,2022-11-01,4,5,5,4
34,2023-11-01,2,3,4,4
34,2024-11-01,2,2,5,4
35,2021-08-01,4,2,4,4
35,2022-08-01,3,4,3,4
35,2023-08-01,4,2,4,4
35,2024-08-01,2,2,4,4
36,2021-01-01,4,4,4,3
36,2022-01-01,2,2,5,3
36,2023-01-01,4,2,4,3
36,2024-01-01,4,3,4,3
36,2025-01-01,3,2,4,3
37,2021-07-01,3,3,4,4
37,2022-07-01,4,4,5,4
37,2023-07-01,2,4,5,4
37,2024-07-01,4,3,5,4
38,2021-06-01,4,5,5,4
38,2022-06-01,4,3,3,4
38,2023-06-01,3,4,4,4
38,2024-06-01,4,3,3,4
39,2021-03-01,5,3,5,4
39,2022-03-01,4,2,5,4
39,2023-03-01,4,3,4,4
39,2024-03-01,3,5,5,4
39,2025-03-01,3,3,4,4
40,2021-12-01,3,3,3,4
40,2022-12-01,2,4,4,4
40,2023-12-01,4,4,3,4
40,2024-12-01,3,2,3,4
41,2021-06-01,2,2,5,4
41,2022-06-01,2,3,3,4
41,2023-06-01,2,5,4,4
41,2024-06-01,2,5,4,4
42,2021-12-01,3,5,4,3
42,2022-12-01,2,5,4,3
42,2023-12-01,4,2,4,3
42,2024-12-01,4,3,4,3
43,2021-09-01,4,4,4,4
43,2022-09-01,2,3,4,4
43,2023-09-01,2,5,4,4
43,2024-09-01,2,5,4,4
44,2021-01-01,2,5,4,4
44,2022-01-01,2,4,3,4
44,2023-01-01,2,4,3,4
44,2024-01-01,3,2,3,4
44,2025-01-01,3,2,4,4
45,2021-01-01,3,2,5,4
45,2022-01-01,2,2,3,4
45,2023-01-01,4,3,5,4
45,2024-01-01,2,4,5,4
45,2025-01-01,3,2,5,4
46,2021-11-01,3,3,5,4
46,2022-11-01,3,4,4,4
46,2023-11-01,5,5,3,4
46,2024-11-01,4,2,5,4
47,2021-08-01,5,3,5,4
47,2022-08-01,5,4,3,4
47,2023-08-01,5,2,5,4
47,2024-08-01,5,2,4,4
48,2021-04-01,2,3,5,4
48,2022-04-01,4,5,3,4
48,2023-04-01,2,5,3,4
48,2024-04-01,4,4,3,4
49,2021-12-01,4,2,3,4
49,2022-12-01,4,3,2,4
49,2023-12-01,2,5,1,4
49,2024-12-01,2,4,2,4
50,2021-12-01,4,4,5,4
50,2022-12-01,4,4,4,4
50,2023-12-01,4,5,4,4
50,2024-12-01,2,5,4,4
51,2021-03-01,4,4,4,4
51,2022-03-01,3,2,3,4
51,2023-03-01,5,2,5,4
51,2024-03-01,4,2,5,4
51,2025-03-01,3,5,3,4
52,2021-04-01,3,2,3,4
52,2022-04-01,2,5,4,4
52,2023-04-01,2,2,3,4
52,2024-04-01,4,4,3,4
53,2021-01-01,2,3,4,4
53,2022-01-01,4,5,3,4
53,2023-01-01,2,5,5,4
53,2024-01-01,4,5,5,4
53,2025-01-01,4,4,5,4
54,2024-06-01,3,5,5,3
55,2021-09-01,3,2,3,4
55,2022-09-01,3,4,5,4
55,2023-09-01,4,3,3,4
55,2024-09-01,4,4,4,4
56,2021-01-01,3,5,4,4
56,2022-01-01,3,4,3,4
56,2023-01-01,4,3,4,4
56,2024-01-01,2,4,4,4
56,2025-01-01,2,2,5,4
57,2021-06-01,2,5,5,4
57,2022-06-01,3,2,3,4
57,2023-06-01,2,4,3,4
57,2024-06-01,4,3,4,4
58,2021-04-01,5,5,3,4
58,2022-04-01,5,2,4,4
58,2023-04-01,3,4,5,4
58,2024-04-01,3,4,3,4
59,2021-02-01,4,5,4,4
59,2022-02-01,4,2,3,4
59,2023-02-01,4,3,5,4
59,2024-02-01,2,4,4,4
59,2025-02-01,2,3,3,4
60,2021-06-01,2,3,3,4
60,2022-06-01,3,5,5,4
60,2023-06-01,2,5,4,4
60,2024-06-01,3,4,5,4
61,2021-09-01,5,2,4,4
61,2022-09-01,4,2,3,4
61,2023-09-01,3,5,4,4
61,2024-09-01,4,3,3,4
62,2021-09-01,4,2,5,4
62,2022-09-01,4,4,5,4
62,2023-09-01,4,3,3,4
62,2024-09-01,3,2,5,4
63,2021-12-01,3,3,1,4
63,2022-12-01,3,4,1,4
63,2023-12-01,4,3,3,4
63,2024-12-01,4,3,1,4
64,2021-09-01,2,3,3,4
64,2022-09-01,4,2,5,4
64,2023-09-01,2,5,5,4
64,2024-09-01,3,3,4,4
65,2021-04-01,2,3,5,4
65,2022-04-01,4,5,4,4
65,2023-04-01,2,3,4,4
65,2024-04-01,4,2,4,4
66,2021-10-01,4,2,5,4
66,2022-10-01,4,3,4,4
66,2023-10-01,5,4,5,4
66,2024-10-01,3,5,4,4
67,2021-07-01,2,2,4,3
67,2022-07-01,3,5,3,3
67,2023-07-01,3,2,3,3
67,2024-07-01,3,4,5,3
68,2021-06-01,4,2,5,4
68,2022-06-01,2,3,5,4
68,2023-06-01,4,3,5,4
68,2024-06-01,3,4,5,4
69,2021-08-01,3,5,5,4
69,2022-08-01,4,3,4,4
69,2023-08-01,2,5,3,4
69,2024-08-01,4,5,4,4
70,2021-04-01,3,5,4,4
70,2022-04-01,3,4,4,4
70,2023-04-01,4,2,5,4
70,2024-04-01,3,3,3,4
71,2021-09-01,2,5,4,4
71,2022-09-01,2,4,4,4
71,2023-09-01,3,2,4,4
71,2024-09-01,3,2,5,4
72,2021-06-01,5,5,5,4
72,2022-06-01,5,2,5,4
72,2023-06-01,3,2,4,4
72,2024-06-01,5,5,3,4
73,2021-12-01,4,4,5,4
73,2022-12-01,3,4,3,4
73,2023-12-01,3,5,4,4
73,2024-12-01,4,5,4,4
74,2021-02-01,4,4,5,4
74,2022-02-01,4,2,5,4
74,2023-02-01,4,2,4,4
74,2024-02-01,2,3,4,4
74,2025-02-01,3,2,5,4
75,2021-10-01,2,4,3,4
75,2022-10-01,4,2,5,4
75,2023-10-01,2,2,3,4
75,2024-10-01,2,5,3,4
76,2021-06-01,3,3,3,4
76,2022-06-01,2,4,4,4
76,2023-06-01,4,3,3,4
76,2024-06-01,3,2,5,4
77,2021-08-01,2,4,3,4
77,2022-08-01,3,4,3,4
77,2023-08-01,3,5,4,4
77,2024-08-01,4,4,3,4
78,2021-08-01,3,4,3,4
78,2022-08-01,4,3,4,4
78,2023-08-01,4,2,3,4
78,2024-08-01,2,5,3,4
79,2021-05-01,2,4,4,4
79,2022-05-01,2,2,5,4
79,2023-05-01,2,5,5,4
79,2024-05-01,3,3,4,4
80,2021-08-01,3,4,3,4
80,2022-08-01,2,5,2,4
80,2023-08-01,4,5,2,4
80,2024-08-01,3,3,2,4
81,2021-12-01,4,2,4,4
81,2022-12-01,2,5,4,4
81,2023-12-01,3,2,3,4
81,2024-12-01,3,4,4,4
82,2021-06-01,4,4,3,4
82,2022-06-01,3,3,3,4
82,2023-06-01,4,4,4,4
82,2024-06-01,5,3,5,4
83,2021-08-01,2,5,3,4
83,2022-08-01,4,2,5,4
83,2023-08-01,3,4,3,4
83,2024-08-01,2,5,5,4
84,2021-03-01,5,5,3,4
84,2022-03-01,5,3,3,4
84,2023-03-01,3,4,3,4
84,2024-03-01,5,3,3,4
84,2025-03-01,5,4,3,4
85,2025-01-01,3,4,4,4
86,2021-02-01,3,5,5,4
86,2022-02-01,3,4,3,4
86,2023-02-01,4,5,4,4
86,2024-02-01,3,2,4,4
86,2025-02-01,3,4,5,4
87,2021-08-01,2,3,5,4
87,2022-08-01,3,4,4,4
87,2023-08-01,4,5,3,4
87,2024-08-01,2,2,3,4
88,2023-08-01,3,4,3,4
88,2024-08-01,4,3,5,4
89,2021-10-01,4,4,4,4
89,2022-10-01,3,2,3,4
89,2023-10-01,4,5,3,4
89,2024-10-01,2,3,3,4
90,2021-07-01,4,2,5,4
90,2022-07-01,3,3,5,4
90,2023-07-01,3,5,3,4
90,2024-07-01,3,3,5,4
91,2021-07-01,3,2,3,4
91,2022-07-01,3,2,5,4
91,2023-07-01,4,3,4,4
91,2024-07-01,4,2,4,4
92,2021-02-01,4,4,5,4
92,2022-02-01,2,5,5,4
92,2023-02-01,2,3,4,4
92,2024-02-01,2,5,5,4
92,2025-02-01,2,4,4,4
93,2021-04-01,2,2,4,3
93,2022-04-01,4,4,5,3
93,2023-04-01,4,5,5,3
93,2024-04-01,3,3,5,3
94,2021-05-01,2,4,4,4
94,2022-05-01,2,4,4,4
94,2023-05-01,2,2,5,4
94,2024-05-01,4,2,4,4
95,2021-07-01,3,5,3,4
95,2022-07-01,3,2,4,4
95,2023-07-01,4,4,4,4
95,2024-07-01,4,3,5,4
96,2021-02-01,2,3,4,4
96,2022-02-01,4,5,5,4
96,2023-02-01,2,2,4,4
96,2024-02-01,3,4,3,4
96,2025-02-01,4,3,3,4
97,2021-05-01,3,2,3,4
97,2022-05-01,2,2,4,4
97,2023-05-01,3,3,4,4
97,2024-05-01,2,5,4,4
98,2021-03-01,3,3,5,4
98,2022-03-01,3,3,5,4
98,2023-03-01,2,5,3,4
98,2024-03-01,2,2,5,4
98,2025-03-01,4,3,3,4
99,2021-01-01,2,3,4,3
99,2022-01-01,3,3,4,3
99,2023-01-01,3,2,4,3
99,2024-01-01,2,5,4,3
99,2025-01-01,4,5,5,3
100,2021-07-01,3,5,4,4
100,2022-07-01,5,4,5,4
100,2023-07-01,5,3,4,4
100,2024-07-01,5,2,4,4
101,2021-12-01,2,3,5,4
101,2022-12-01,3,4,5,4
101,2023-12-01,4,3,5,4
101,2024-12-01,2,2,3,4
102,2021-12-01,3,4,5,4
102,2022-12-01,2,3,4,4
102,2023-12-01,4,2,3,4
102,2024-12-01,2,2,4,4
103,2021-04-01,3,4,2,4
103,2022-04-01,3,2,2,4
103,2023-04-01,3,3,2,4
103,2024-04-01,3,5,1,4
104,2021-11-01,3,3,5,4
104,2022-11-01,4,2,5,4
104,2023-11-01,2,5,4,4
104,2024-11-01,2,2,5,4
105,2021-08-01,5,2,5,4
105,2022-08-01,5,5,3,4
105,2023-08-01,5,4,5,4
105,2024-08-01,3,3,4,4
106,2024-11-01,3,3,1,4
107,2021-06-01,2,4,5,4
107,2022-06-01,3,3,4,4
107,2023-06-01,3,4,3,4
107,2024-06-01,4,2,4,4
108,2021-07-01,2,3,3,4
108,2022-07-01,2,5,4,4
108,2023-07-01,2,2,5,4
108,2024-07-01,2,3,5,4
109,2022-09-01,4,3,3,4
109,2023-09-01,4,5,5,4
109,2024-09-01,2,3,5,4
110,2021-07-01,2,5,4,4
110,2022-07-01,3,2,4,4
110,2023-07-01,4,3,5,4
110,2024-07-01,4,3,5,4
111,2021-12-01,3,5,3,3
111,2022-12-01,3,5,4,3
111,2023-12-01,4,5,4,3
111,2024-12-01,4,5,3,3
112,2021-07-01,4,5,3,4
112,2022-07-01,4,3,5,4
112,2023-07-01,5,5,4,4
112,2024-07-01,3,3,4,4
113,2021-11-01,3,3,4,4
113,2022-11-01,4,2,3,4
113,2023-11-01,2,4,5,4
113,2024-11-01,2,3,4,4
114,2021-07-01,2,2,3,4
114,2022-07-01,2,4,4,4
114,2023-07-01,3,3,4,4
114,2024-07-01,3,3,3,4
115,2021-06-01,4,2,3,4
115,2022-06-01,2,5,3,4
115,2023-06-01,2,3,4,4
115,2024-06-01,4,5,5,4
116,2021-11-01,2,4,3,3
116,2022-11-01,3,2,3,3
116,2023-11-01,3,3,3,3
116,2024-11-01,3,2,3,3
117,2024-07-01,2,2,3,4
118,2021-01-01,4,4,5,4
118,2022-01-01,3,3,5,4
118,2023-01-01,3,5,3,4
118,2024-01-01,3,3,4,4
118,2025-01-01,3,5,3,4
119,2021-10-01,2,5,5,4
